0.6891,0.6269,-0.0721,0.8595,0.0984,0.8846,-0.7971,-0.2746,0.6163,0.7827,0.3337
0.0736,0.5015,0.3856,0.0834,0.0145,0.6816,-0.6403,0.0139,0.1319,0.0046,0.8402
0.8257,0.9246,0.4417,0.0706,0.9838,0.2051,0.1173,0.0338,0.8419,0.903,0.1459
0.1196,0.4904,0.6564,0.0086,0.7729,0.0456,0.2238,0.0464,0.838,0.4463,0.3155
0.7632,0.5468,0.218,0.0335,0.0545,0.6077,-0.5625,0.0158,0.5849,0.418,0.6355
0.9544,0.6048,-0.0808,0.0496,0.0091,0.0543,0.0349,0.047,0.7434,0.407,0.6724
0.9335,0.6315,0.1319,0.0939,0.9562,0.2112,0.1608,0.0181,0.1613,0.3532,-0.2087
0.4064,0.7233,0.4633,0.0379,0.4233,0.6184,-0.4564,0.048,0.8344,0.0673,0.7254
0.2016,0.4732,0.5438,0.0905,0.0842,0.823,-0.7506,0.0018,0.0016,0.3219,0.3376
0.5927,0.5656,-0.0594,0.0854,0.8421,0.822,-0.4969,0.0483,0.0129,0.1969,0.2484
0.2142,0.7214,0.7065,0.0638,0.5995,0.3621,-0.1254,0.0452,0.0024,0.4593,0.2739
0.9956,0.3294,-0.0718,0.0079,0.5023,0.8662,-0.6758,0.0322,0.3149,0.754,-0.158
0.6173,0.7283,0.3822,0.0363,0.9971,0.998,-0.6088,0.018,0.1254,0.7184,0.1285
0.438,0.3341,-0.0386,0.0862,0.6242,0.6024,-0.3762,0.0385,0.7617,0.8886,-0.1431
0.456,0.0408,-0.0995,0.066,0.382,0.2287,-0.0942,0.0489,0.9465,0.7708,0.464
0.3177,0.493,0.1246,0.0619,0.2622,0.2502,-0.1657,0.0254,0.8718,0.6188,0.4374
0.0352,0.2411,0.3785,0.0036,0.8481,0.174,0.1546,0.0046,0.3423,0.9793,-0.9816
0.1087,0.4024,0.3047,0.0089,0.1166,0.7403,-0.6402,0.0045,0.5791,0.3989,-0.1256
0.1451,0.8297,0.9287,0.0302,0.869,0.1973,0.1205,0.0015,0.1786,0.2953,0.1146
0.3623,0.1445,-0.0803,0.0485,0.5525,0.1047,0.1565,0.0382,0.6538,0.4235,0.6791
0.5707,0.0657,-0.1412,0.063,0.2412,0.2116,-0.1176,0.0032,0.0338,0.0861,-0.0843
0.7599,0.5114,-0.1705,0.0978,0.5343,0.223,0.0272,0.0087,0.0395,0.5997,-0.5859
0.283,0.2369,0.006,0.0767,0.1636,0.2301,-0.176,0.0067,0.369,0.8136,-0.5055
0.9117,0.8555,-0.1132,0.0109,0.1922,0.3871,-0.2676,0.0257,0.0271,0.4148,-0.146
0.2307,0.2088,0.2516,0.0193,0.6738,0.8277,-0.5917,0.0187,0.7301,0.7683,0.0772
0.2024,0.2237,0.0457,0.079,0.4962,0.4579,-0.2194,0.0297,0.9823,0.3275,0.1751
0.7603,0.8193,0.2597,0.0863,0.2122,0.0094,0.0739,0.0255,0.6522,0.4501,0.0077
0.3019,0.725,0.415,0.0743,0.6067,0.2855,-0.0571,0.0237,0.2989,0.4721,-0.2198
0.0806,0.6248,0.7121,0.0903,0.8946,0.627,-0.3556,0.0183,0.9139,0.9853,-0.278
0.8531,0.1808,-0.2771,0.0463,0.8254,0.5075,-0.1699,0.045,0.8502,0.2204,0.4691
